Rank Tertinggi,score,Koleksi,Jumlah Skin,score_kolektor,Winrate keseluruhan,score,total match,score, Harga ,
Legend I,2,Kolektor Ternama II ,277,22,59.46,3,1015,1," Rp400,000.00 ",
Legend III,2,Kolektor Terhormat II ,474,27,58,3,1681,2," Rp900,000.00 ",
Mythic (15 Bintang),3,Kolektor Terhormat IV ,329,29,54.48,2,1960,2," Rp630,000.00 ",
Mythic (16 Bintang),3,Kolektor Juragan V ,417,35,45,1,8855,5," Rp2,200,000.00 ",
Mythic (22 Bintang),3,Kolektor Ternama I ,243,21,50.91,2,543,1," Rp400,000.00 ",
Mythic (19 Bintang),3,Kolektor Juragan V ,569,35,53.69,2,3419,3," Rp1,150,000.00 ",
Mythical Honor (38 Bintang),4,Kolektor Juragan V ,547,35,46.57,1,780,1," Rp1,800,000.00 ",
Legend I,2,Kolektor Juragan ,525,0,58.89,3,7001,4," Rp2,250,000.00 ",
Mythical Honor (36 Bintang),4,Kolektor Juragan IV ,397,34,56.59,3,2056,2," Rp1,400,000.00 ",
Epic IV,1,Kolektor Ternama II ,224,22,45,1,1656,2," Rp600,000.00 ",
Epic II,1,Kolektor Ternama I ,288,21,55.76,3,6804,4," Rp635,000.00 ",
Mythical Glory (71 Bintang),5,Kolektor Ternama II ,291,22,55.19,3,3874,3," Rp420,000.00 ",
Legend II,2,Kolektor Juragan V ,503,35,66.32,5,4093,3," Rp2,000,000.00 ",
Mythical Honor (29 Bintang),4,Kolektor Ternama I ,229,21,62.86,4,10330,5," Rp650,000.00 ",
Mythic (8 Bintang),3,Kolektor Ternama II ,234,22,64.23,4,4495,3," Rp500,000.00 ",
Epic V,1,Kolektor Senior IV ,54,14,55.8,3,6561,4," Rp220,000.00 ",
Mythic (9 Bintang),3,Kolektor Terhormat V ,309,30,51.64,2,8605,5," Rp550,000.00 ",
Epic V,1,Kolektor Ternama III ,232,23,45,1,4460,3," Rp500,000.00 ",
Mythic (2 Bintang),3,Kolektor Ternama II ,242,22,52.2,2,4084,3," Rp440,000.00 ",
Mythic (2 Bintang),3,Kolektor Ternama III ,209,23,45,1,1804,2," Rp750,000.00 ",
